ecole,addr,lycee,groupe_scolaire,institut
Ecole Alam Al Maârifa  Privée,"66, avenue Khalifa Ben Ismaïl ",0,0,0
Ecole Ittihad Aïn Sebaâ,"82, allée des Pritchardias ",0,0,0
Ecole Ittihad Hay Mohammadi,"29, lotiss. Riad, rue 29",0,0,0
Ecole Jamaleddine,"154, avenue Khalifa Ben Ismaïl, hay Errahma",0,0,0
Ecole Jeanne d'Arc,"57, bd Moulay Youssef ",0,0,0
Ecole Jules Verne,"276, lotiss. Lina, Sidi Maârouf",0,0,0
Ecole Kamil,"hay Tarik rue 55, n°49",0,0,0
Ecole Kenz Oulfa  Privee,"72, Lot Assafa , rue 10 n°23",0,0,0
Ecole Kenz Zoubeir  Privée,"72, lotiss. Assafa, Zoubeir",0,0,0
Ecole la Cloche,"32 Bis, allée des Tamaris (Aïn Sebâa) ",0,0,0
Ecole La Cour des Grands,"bd El Qods, rue Saniat",0,0,0
Ecole la Joyeuse Maison,"hay Arsalane, rue 5 n°20",0,0,0
Ecole la Pensée,"20, villa Sacem , Sidi Maârouf",0,0,0
Ecole la Perle,"lotiss. Badr -ex Vermont, rue 5 n°7, Polo",0,0,0
Ecole la petite maison,"hay El Oulfa, rue 3, n°59 grp. W",0,0,0
Ecole la Prairie,Av de l' Atlas -ex Ile de France ang. bd Ibn Sina,0,0,0
Ecole Lala Fatima Zahra,"hay El Qods, rue 27",0,0,0
Ecole le Flambeau,"8, rue Errazi ",0,0,0
Ecole Le Petit Monde,"rue de l' Isère, ang. rue de la Saone",0,0,0
Ecole le Pont,"548, bd Panoramique ",0,0,0
Ecole Le Roseau,"17, rue Lagramta - ex Le Cornec ",0,0,0
Ecole Montessori,"6, bd Panoramique ",0,0,0
Ecole Mouad Bnou Jabal,"lotiss. Ennour, rue 2 n°37",0,0,0
Ecole Naji de coiffure  privée    (E.n.c.p),"556, bd de Goulmima, résid. Hamed jassim II",0,0,0
Ecole Nassim,"89, hay Nassim ",0,0,0
Ecole Nayl Essalam,"quartier Californie, lot Siham n°70",0,0,0
Ecole Nesrina,"39, rue de Guercif -ex Camp Turpin, bd de bordeaux",0,0,0
Ecole Neve Shalom,"140, rue Taha Houcine -ex Galilée ",0,0,0
Ecole Nore Al Maarifa,"300, lotiss. Lina ",0,0,0
Ecole Notre Dame,"23, avenue Tizi Ousli ",0,0,0
Ecole Omar AlImam,"247, rue Abdelhamid Bnou Badis ",0,0,0
Ecole Omar ElIdrissi,"28, rue Omar El Idrissi ",0,0,0
Ecole Oulad Aharou,"douar Ouled Mellouk, Lahraouine",0,0,0
Ecole Oum AlFade,"hay El Qods, grp. 107 n°20",0,0,0
Ecole Oum Aymane,"99, lot. Dalila I ",0,0,0
Ecole Ouzoud,"hay El Osra, Lotiss. Dar Chaoui n°64",0,0,0
Ecole Palais Mode  Privée    de Coiffure,"hay Moulay Abdallah, rue 46 n°17/19",0,0,0
Ecole para médicale  privée    de casablanca (Epmc),"221, bd Mohammed V, 2°ét et 3°ét",0,0,0
Ecole Paul Bert,"45, bd El Hachemi El Filali ",0,0,0
